created_at,username,gamemode,rank,points
2026-03-11T14:00:00Z,Koni0722,UHC,LT4,3
2026-03-11T14:00:00Z,Matheus_Adelee,UHC,LT4,3
2026-03-11T14:00:00Z,f3lix375,UHC,LT4,3
2026-03-11T14:00:00Z,JUSTYDANI,UHC,HT5,2
2026-03-11T14:00:00Z,Masgara,UHC,HT5,2
2026-03-11T14:00:00Z,Xqvpandaking,ShieldlessUHC,LT3,6
2026-03-11T14:00:00Z,Ben21YT,ShieldlessUHC,HT4,4
2026-03-11T14:00:00Z,7H3pii,ShieldlessUHC,HT4,4
2026-03-11T14:00:00Z,1Disrrpt,ShieldlessUHC,LT4,3
2026-03-11T14:00:00Z,NeonGamer322,ShieldlessUHC,LT4,3
2026-03-11T14:00:00Z,Koni0722,ShieldlessUHC,HT5,2
2026-03-11T14:00:00Z,Masgara,ShieldlessUHC,HT5,2
2026-03-11T14:00:00Z,7H3pii,Creeper,HT3,8
2026-03-11T14:00:00Z,Xqvpandaking,Creeper,LT3,6
2026-03-11T14:00:00Z,LiverpoolKeszeg,Creeper,LT3,6
2026-03-11T14:00:00Z,Only_a_bee,Creeper,HT4,4
2026-03-11T14:00:00Z,NeonGamer322,Creeper,HT4,4
2026-03-11T14:00:00Z,Masgara,Creeper,LT4,3
2026-03-11T14:00:00Z,Ben21YT,Creeper,LT4,3
2026-03-11T14:00:00Z,Koni0722,Creeper,HT5,2
2026-03-11T14:00:00Z,Nyxnen2311,Creeper,LT3,6
2026-03-11T14:00:00Z,DINNY_,Creeper,HT5,2
2026-03-11T14:00:00Z,Xqvpandaking,Cart,HT3,8
2026-03-11T14:00:00Z,NeonGamer322,Cart,LT3,6
2026-03-11T14:00:00Z,Foxythatguy,Cart,HT4,4
2026-03-11T14:00:00Z,1Disrrpt,Cart,HT4,4
2026-03-11T14:00:00Z,Ben21YT,Cart,LT4,3
2026-03-11T14:00:00Z,Lord_Anura,Cart,LT4,3
2026-03-11T14:00:00Z,Koni0722,Cart,LT4,3
2026-03-11T14:00:00Z,FrogMan015,Cart,LT4,3
2026-03-11T14:00:00Z,JUSTYDANI,Cart,HT5,2
2026-03-11T14:00:00Z,Masgara,Cart,HT5,2
2026-03-11T14:00:00Z,Ametiszt,Cart,HT5,2
2026-03-11T14:00:00Z,Matheus_Adelee,Cart,HT5,2
2026-03-11T14:00:00Z,LiverpoolKeszeg,Cart,HT5,2
2026-03-11T14:00:00Z,Xqvpandaking,DiaSMP,HT3,8
2026-03-11T14:00:00Z,NeonGamer322,DiaSMP,LT4,3
2026-03-11T14:00:00Z,1Disrrpt,DiaSMP,LT3,6
2026-03-11T14:00:00Z,Ben21YT,DiaSMP,HT4,4
2026-03-11T14:00:00Z,LiverpoolKeszeg,DiaSMP,HT4,4
2026-03-11T14:00:00Z,7H3pii,DiaSMP,LT4,3
2026-03-11T14:00:00Z,Lord_Anura,DiaSMP,LT4,3
2026-03-11T14:00:00Z,Csigusz_,DiaSMP,LT4,3
2026-03-11T14:00:00Z,Jumpy13123,DiaSMP,LT4,3
2026-03-11T14:00:00Z,BolyosAbel,DiaSMP,HT5,2
